contigName	sample1	sample2	sample3
k99_34	75.0619	81.8108	111.29
k99_37	80.8786	85.1874	110.644
k99_42	68.1554	63.6633	44.0691
k99_43	81.1828	83.5054	108.339
k99_55	79.8197	82.5901	117.363
k99_61	77.3526	84.8892	116.565
k99_82	8.40822	4.34082	0
k99_83	13.6107	18.124	65.1421
k99_87	12.4134	21.0026	72.5762
k99_91	74.0923	62.5582	46.8926
k99_92	8.89218	19.0099	66.5264
k99_93	78.6033	79.1215	110.098
k99_95	77.0121	86.0408	107.584
k99_96	78.4461	79.2664	123.03
k99_103	81.1709	85.0496	109.128
k99_106	79.6271	82.4583	110.611
k99_108	74.6843	85.9554	107.151
k99_110	83.9511	85.877	110.934
k99_111	79.9227	79.8647	108.89
k99_118	10.6279	19.1346	51.1077
k99_119	77.1903	81.3526	113.493
k99_120	101.857	121.77	94.8378
k99_126	77.191	87.9578	114.487
k99_127	73.5663	69.0866	46.4683
k99_134	10.8696	20.4362	69.1641
k99_136	71.6145	70.9817	45.0588
k99_138	82.8799	90.5178	112.242
k99_140	72.8227	67.3295	45.6627
k99_141	76.1538	84.728	106.035
k99_144	77.2697	84.5539	113.102
k99_145	79.4525	84.593	109.087
k99_147	77.3314	82.6664	107.198
k99_148	77.8475	77.7918	104.998
k99_156	16.5499	23.9376	72.3814
k99_161	9.87234	19.075	66.5745
k99_163	77.606	84.6987	104.794
k99_169	18.6323	27.5255	74.8031
k99_172	81.2065	84.677	105.876
k99_173	77.5931	84.3818	111.114
k99_175	81.3926	85.5133	112.729
k99_177	70.1422	66.6653	43.3493
k99_179	72.9563	64.458	43.5218
k99_181	79.984	86.3268	115.571
k99_183	77.6743	86.1622	105.778
k99_184	80.3799	86.183	110.285
k99_186	60.8455	28.1327	0
k99_187	10.3581	20.7963	66.7268
k99_200	9.47976	5.01525	0
k99_206	86.4473	80.5015	56.8042
k99_208	82.5679	83.3612	110.917
k99_209	74.9615	71.9018	104.186
k99_224	81.0435	85.868	115.688
k99_228	81.029	85.4266	109.758
k99_239	73.4823	81.5476	96.0354
k99_243	10.5608	21.2519	70.4947
k99_247	80.2024	88.2643	111.889
k99_255	72.4571	66.153	46.846
k99_257	82.3187	87.1003	112.802
k99_258	80.9083	81.382	106.611
k99_261	80.5921	81.932	111.025
k99_263	81.8323	82.3063	110.551
k99_269	56.6042	76.0269	65.4351
k99_282	10.5499	21.8337	66.5433
k99_286	82.6845	83.9539	108.815
k99_290	72.0976	76.2797	100.179
k99_291	85.2366	83.8987	115.199
k99_297	9.26004	20.3062	66.4849
k99_298	79.4146	84.9199	109.043
k99_307	80.6957	87.6886	112.983
k99_312	81.6557	80.2774	111.275
k99_313	71.3281	65.2629	46.0579
k99_314	101.173	100.438	118.388
k99_315	25.5805	15.7017	5.04415
k99_317	80.4977	83.7553	106.539
k99_318	82.4298	87.3319	109.356
k99_319	80.6342	84.3557	114.88
k99_320	448.012	323.696	358.379
k99_328	78.5251	86.2724	110.321
k99_331	10.2916	17.4654	69.3621
k99_335	76.9525	65.424	46.1722
k99_341	82.5122	82.8848	107.8
k99_343	85.7984	82.9652	118.056
k99_345	11.3432	5.22543	0
k99_350	77.1511	84.6844	93.3631
k99_352	67.9343	63.4234	47.0499
k99_355	78.9372	82.9677	116.316
k99_356	82.9684	84.0376	104.657
k99_358	73.1656	67.2188	45.7604
k99_359	75.2841	62.1084	41.3233
k99_363	9.64451	23.1957	59.3427
k99_364	76.049	82.2798	109.541
k99_370	65.2976	57.159	42.4831
k99_376	69.258	80.0649	69.6106
k99_380	79.9591	88.0576	111.912
k99_382	81.426	84.8354	112.206
k99_388	82.673	89.0295	106.979
k99_390	9.69398	21.8566	67.1096
k99_391	73.8022	65.2693	43.7658
k99_392	78.8826	87.1044	111.446
k99_393	9.7912	3.8839	0
k99_401	76.9034	88.1223	113.179
k99_405	80.6005	82.424	109.364
k99_406	78.4964	88.6672	109.499
k99_408	83.2572	78.5801	97.9852
k99_413	11.0445	21.0066	68.9629
k99_416	10.0658	4.9881	0
k99_417	78.8615	79.4565	96.644
k99_418	87.6963	67.0389	68.6746
k99_419	26.5699	14.5638	4.97633
k99_421	78.5645	82.5462	114.835
k99_422	76.2717	90.6218	112.018
k99_425	84.1205	84.8964	108.256
k99_426	70.6512	66.9227	50.287
k99_431	12.3336	23.1324	70.8608
k99_432	83.0246	78.984	96.801
k99_434	10.3579	19.3726	69.2127
k99_438	86.7938	83.3138	110.267
k99_448	102.527	119.018	96.5947
k99_449	9.39675	18.778	61.1817
k99_456	80.7942	86.2023	114.923
k99_458	100.497	117.81	95.1193
k99_461	79.7853	85.545	110.27
k99_464	10.0548	5.02127	0
k99_466	85.3081	89.2996	114.373
k99_471	70.7948	63.1571	48.2561
k99_476	70.9113	65.2152	46.2816
k99_483	83.5248	86.1511	111.942
k99_484	77.7212	89.09	110.9
k99_491	83.8043	65.1372	67.0186
k99_493	201.067	230.769	190.692
k99_500	87	86.3234	106.979
k99_506	10.8313	18.8855	69.3956
k99_507	79.911	84.3029	108.331
k99_510	79.0608	82.1128	103.349
k99_512	68.9327	66.5716	42.0979
k99_518	9.33692	18.226	65.6093
k99_519	6.49419	19.7284	68.6013
k99_523	11.7963	21.3318	73.6059
k99_527	73.6738	61.648	43.5124
k99_528	75.0406	68.6336	59.6761
k99_532	83.4723	80.2578	107.753
k99_534	78.1731	83.9081	107.237
k99_536	80.7703	86.8166	113.354
k99_538	76.3093	81.2466	101.652
k99_539	67.8168	66.1661	41.0684
k99_543	70.7392	63.4671	48.6353
k99_544	13.0694	19.11	65.6005
k99_554	79.3926	81.6204	112.157
k99_558	80.1419	84.5072	109.504
k99_562	19.3042	29.3018	75.1423
k99_566	85.2096	84.4641	110.022
k99_571	83.1379	83.9679	112.305
k99_575	78.1952	83.7724	109.175
k99_579	69.4402	64.7188	46.4366
k99_581	75.2823	85.7268	114.896
k99_586	74.3696	65.9294	47.71
k99_589	80.3504	74.6835	103.794
k99_590	81.5194	83.0647	110.929
k99_592	83.1045	86.094	108.763
k99_593	77.8093	77.0293	106.576
k99_596	80.3028	86.6872	113.799
k99_598	55.5942	81.3913	63.5817
k99_601	66.5541	60.7074	47.1048
k99_602	12.0607	20.6456	69.3362
k99_607	81.9511	89.9719	110.58
k99_609	77.2856	83.6802	112.812
k99_610	81.854	81.8979	111.803
k99_612	77.8709	87.4155	116.441
k99_618	82.1484	86.4242	108.573
k99_621	78.9642	83.0724	110.53
k99_622	76.9962	89.1465	115.7
k99_627	84.8909	83.0031	124.99
k99_628	8.26743	20.4856	67.7276
k99_629	75.4089	89.6759	118.636
k99_630	81.1689	89.6734	108.869
k99_631	74.1347	85.138	100.985
k99_632	77.5435	84.3953	95.0824
k99_633	78.6667	79.8439	101.443
k99_636	80.0991	83.2579	109.728
k99_637	9.86689	4.86323	0
k99_639	106.96	163.38	119.425
